"Brand_Reg","Model_No","SoldIn","screensize","Screen_Tech","Avg_mode_power","Star","SRI","Labelled energy consumption (kWh/year)","Sold In Aus","screensize_inch","GeneralSize"
"SAMSUNG ELECTRONICS","QA55LS03AAS","Australia,Fiji,New Zealand",138.711,"LCD (LED)",137,"N/A","N/A",503,1,55,"Large"
"SAMSUNG ELECTRONICS","QA75LS03AAW","Australia,Fiji,New Zealand",189.306,"LCD (LED)",187,"N/A","N/A",686,1,75,"Large"
"SAMSUNG ELECTRONICS","QA75LS03AAS","Australia,Fiji,New Zealand",189.306,"LCD (LED)",187,"N/A","N/A",686,1,75,"Large"
"TECO","LED22JFRHU","Australia,Fiji,New Zealand",54.687,"LCD (LED)",18.64,"N/A","N/A",76,1,22,"Medium"
"SAMSUNG ELECTRONICS","QA85Q70AAW","Australia,Fiji,New Zealand",214.783,"LCD (LED)",220,"N/A","N/A",806,1,85,"Large"
"SAMSUNG ELECTRONICS","QA85Q70AAS","Australia,Fiji,New Zealand",214.783,"LCD (LED)",220,"N/A","N/A",806,1,85,"Large"
"SAMSUNG ELECTRONICS","UA50AU9000S","Australia,Fiji,New Zealand",125.725,"LCD (LED)",92,"N/A","N/A",339,1,49,"Large"
"SAMSUNG ELECTRONICS","UA55AU9000S","Australia,Fiji,New Zealand",138.711,"LCD (LED)",112,"N/A","N/A",412,1,55,"Large"
"SONIQ","G58UW40A","Australia,New Zealand",146.027,"LCD",90.6,"N/A","N/A",337,1,57,"Large"
"SONIQ","E65UV42A","Australia,New Zealand",166.971,"LCD",104.4,"N/A","N/A",391,1,66,"Large"
"PHILIPS","32HFL5114/12","Australia,Fiji,New Zealand",80.133,"LCD (LED)",27.83,"N/A","N/A",114,1,32,"Large"
"PHILIPS","43HFL5114/12","Australia,Fiji",107.947,"LCD (LED)",41.94,"N/A","N/A",170,1,42,"Large"
"PHILIPS","43HFL5114U/12","Australia,Fiji,New Zealand",107.987,"LCD (LED)",55.81,"N/A","N/A",226,1,43,"Large"
"PHILIPS","43HFL6114U/12","Australia,Fiji,New Zealand",107.987,"LCD",57.79,"N/A","N/A",234,1,43,"Large"
"LG","OLED55A1PTA","Australia,New Zealand",138.783,"OLED",93,"N/A","N/A",342,1,55,"Large"
"LG","OLED55A1PVA","Australia,New Zealand",138.783,"OLED",93,"N/A","N/A",342,1,55,"Large"
"LG","OLED65A1PTA","Australia,New Zealand",163.897,"OLED",118,"N/A","N/A",433,1,65,"Large"
"LG","OLED65A1PVA","Australia,New Zealand",163.897,"OLED",118,"N/A","N/A",433,1,65,"Large"
"LG","OLED65R1PTA","Australia,New Zealand",163.897,"OLED",154,"N/A","N/A",565,1,65,"Large"
"LG","OLED77Z1PTA","Australia,New Zealand",194.738,"OLED",272,"N/A","N/A",995,1,77,"Large"
"LG","OLED88Z1PTA","Australia,New Zealand",222.494,"OLED",320,"N/A","N/A",1170,1,88,"Large"
"AKAI","AK5521NF","Australia,Fiji,New Zealand",138.783,"LCD (LED)",68.7096,"N/A","N/A",267,1,55,"Large"
"kogan","KAQLED50XT9510STA","Australia,Fiji,New Zealand",125.638,"LCD",83,"N/A","N/A",313,1,49,"Large"
"Sony","KD-75X80J","Australia,New Zealand",189.306,"LCD (LED)",194.8,"N/A","N/A",717,1,75,"Large"
"JVC","LT-58N7115A","Australia,Fiji",145.865,"LCD",105.8,"N/A","N/A",468,1,57,"Large"
"LG","86NANO99TPA","Australia,New Zealand",217.425,"LCD (LED)",454,"N/A","N/A",1660,1,86,"Large"
"HISENSE","75U80G","Australia,New Zealand",189.34,"LCD (LED)",260.42,"N/A","N/A",1060,1,75,"Large"
"AIWA","AWA400S","Australia,Fiji",100.305,"LCD (LED)",36.8,"N/A","N/A",148,1,39,"Large"
"AIWA","AWA500US","Australia,Fiji",125.725,"LCD (LED)",72,"N/A","N/A",265,1,49,"Large"
"AIWA","AWA320S","Australia,Fiji",79.967,"LCD (LED)",28,"N/A","N/A",104,1,31,"Large"
